wavelength_nm,pdp_percent,pdp_fraction
350,5.4,0.054
360,5.3,0.053
370,7.0,0.070
380,9.3,0.093
390,10.5,0.105
400,13.2,0.132
410,15.8,0.158
420,15.7,0.157
430,20.0,0.200
440,23.0,0.230
450,25.8,0.258
460,25.9,0.259
470,25.4,0.254
480,26.6,0.266
490,27.3,0.273
500,27.7,0.277
510,25.5,0.255
520,23.1,0.231
530,24.3,0.243
540,26.5,0.265
550,27.4,0.274
560,26.0,0.260
570,23.1,0.231
580,21.8,0.218
590,21.0,0.210
600,21.8,0.218
610,23.0,0.230
620,21.7,0.217
630,20.5,0.205
640,19.2,0.192
650,18.3,0.183
660,16.5,0.165
670,15.8,0.158
680,14.9,0.149
690,14.6,0.146
700,13.5,0.135
710,13.1,0.131
720,12.6,0.126
730,11.2,0.112
740,10.7,0.107
750,10.0,0.100
760,8.9,0.089
770,7.9,0.079
780,7.0,0.070
790,6.6,0.066
800,6.1,0.061
810,5.9,0.059
820,5.8,0.058
830,5.8,0.058
840,5.5,0.055
850,4.9,0.049
860,4.4,0.044
870,3.9,0.039
880,3.4,0.034
890,3.1,0.031
900,2.8,0.028
910,2.6,0.026
920,2.3,0.023
930,2.1,0.021
940,1.9,0.019
950,1.7,0.017
960,1.5,0.015
970,1.2,0.012
980,0.9,0.009
990,0.8,0.008
1000,0.7,0.007
1010,0.5,0.005
1020,0.4,0.004
1030,0.35,0.0035
1040,0.28,0.0028
1050,0.2,0.002
